outprefix,dataset,njobs,timeinsecs
XGB-CV,covtypeNorm,1,890.580911200
jfr-XGB-CV,covtypeNorm,1,905.437987400
XGB-CV,covtypeNorm,2,590.585008500
jfr-XGB-CV,covtypeNorm,2,601.047421600
XGB-CV,covtypeNorm,3,485.217208100
jfr-XGB-CV,covtypeNorm,3,542.701177000
XGB-CV,covtypeNorm,4,494.829546100
jfr-XGB-CV,covtypeNorm,4,483.120894000
XGB-CV,GMSC,1,29.504213100
jfr-XGB-CV,GMSC,1,42.747656400
XGB-noCV,GMSC,2,8.280346900
jfr-XGB-noCV,GMSC,2,8.644070300
XGB-noCV,GMSC,3,8.276092200
jfr-XGB-noCV,GMSC,3,8.786473300
XGB-noCV,GMSC,4,7.770573300
jfr-XGB-noCV,GMSC,4,8.346510500
RFC-noCV,covtypeNorm,1,182.109146900
jfr-RFC-noCV,covtypeNorm,1,182.715365000
RFC-noCV,covtypeNorm,2,120.096366100
jfr-RFC-noCV,covtypeNorm,2,122.478323300
RFC-noCV,covtypeNorm,3,104.040128100
jfr-RFC-noCV,covtypeNorm,3,105.819363000
RFC-noCV,covtypeNorm,4,96.476701500
jfr-RFC-noCV,covtypeNorm,4,99.842073200
RFC-noCV,GMSC,1,41.096655600
jfr-RFC-noCV,GMSC,1,42.211175600
RFC-noCV,GMSC,2,26.128174200
jfr-RFC-noCV,GMSC,2,27.396866600
RFC-noCV,GMSC,3,22.495772700
jfr-RFC-noCV,GMSC,3,22.914954800
RFC-noCV,GMSC,4,20.663056400
jfr-RFC-noCV,GMSC,4,21.146259000
